PLAYER_ID,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
201566,Russell Westbrook,DEN,52,31,21,1426.0,455,75,146,51.4,32,54,59.3,189,41.5,222,48.8,59,13.0,37,8.1,27,5.8999999999999995
1642346,Ryan Dunn,PHX,53,24,29,937.0,96,16,38,42.1,1,4,25.0,33,34.4,46,47.9,5,5.2,4,4.2,2,2.1
1631157,Ryan Rollins,MIL,39,20,19,487.0,105,24,52,46.2,5,6,83.3,54,51.4,41,39.0,10,9.5,8,7.6,3,2.9000000000000004
1630573,Sam Hauser,BOS,49,34,15,983.0,31,14,16,87.5,0,0,0.0,29,93.5,15,48.4,2,6.5,0,0.0,0,0.0
1630241,Sam Merrill,CLE,49,39,10,947.0,54,3,7,42.9,4,4,100.0,10,18.5,40,74.1,12,22.2,2,3.6999999999999997,2,3.6999999999999997
1630572,Sandro Mamukelashvili,SAS,37,14,23,327.0,34,6,10,60.0,9,12,75.0,21,61.8,16,47.099999999999994,4,11.799999999999999,2,5.8999999999999995,6,17.599999999999998
1630583,Santi Aldama,MEM,50,33,17,1245.0,232,51,103,49.5,27,32,84.39999999999999,130,56.00000000000001,102,44.0,22,9.5,8,3.4000000000000004,16,6.9
1630703,Scoot Henderson,POR,51,24,27,1351.0,584,89,193,46.1,70,85,82.39999999999999,252,43.2,267,45.7,63,10.8,53,9.1,43,7.3999999999999995
1630567,Scottie Barnes,TOR,45,16,29,1560.0,474,107,216,49.5,50,66,75.8,272,57.4,188,39.7,52,11.0,26,5.5,33,7.000000000000001
1630590,Scotty Pippen Jr.,MEM,57,37,20,1141.0,442,63,131,48.1,25,40,62.5,156,35.3,244,55.2,64,14.499999999999998,33,7.5,20,4.5
203552,Seth Curry,CHA,49,13,36,710.0,100,21,45,46.7,5,6,83.3,48,48.0,39,39.0,8,8.0,10,10.0,3,3.0
1631101,Shaedon Sharpe,POR,51,23,28,1511.0,397,104,204,51.0,54,66,81.8,276,69.5,118,29.7,25,6.3,31,7.8,33,8.3
1628983,Shai Gilgeous-Alexander,OKC,56,46,10,1913.0,1152,321,559,57.4,200,224,89.3,870,75.5,396,34.4,99,8.6,51,4.3999999999999995,112,9.700000000000001
1629003,Shake Milton,LAL,44,23,21,678.0,180,41,76,53.900000000000006,17,20,85.0,102,56.699999999999996,79,43.9,15,8.3,12,6.7,11,6.1
1631321,Sidy Cissoko,POR,17,8,9,54.0,12,2,5,40.0,0,2,0.0,4,33.300000000000004,5,41.699999999999996,1,8.3,0,0.0,1,8.3
1631323,Simone Fontecchio,DET,52,27,25,906.0,92,19,46,41.3,12,14,85.7,51,55.400000000000006,25,27.200000000000003,4,4.3,11,12.0,7,7.6
203915,Spencer Dinwiddie,DAL,58,31,27,1458.0,399,80,171,46.800000000000004,56,68,82.39999999999999,227,56.89999999999999,161,40.400000000000006,37,9.3,17,4.3,34,8.5
