PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
Ty Jerome,CLE,67,54,13,1322.0,127,260,48.8,51.0,122.0,41.8,58.699999999999996,305,1629660,1610612739
TyTy Washington Jr.,PHX,13,3,10,103.0,5,19,26.3,1.0,6.0,16.7,28.9,11,1631102,1610612756
Tyler Herro,MIA,71,33,38,2527.0,228,528,43.2,112.0,310.0,36.1,53.800000000000004,568,1629639,1610612748
Tyler Kolek,NYK,38,25,13,246.0,2,18,11.1,0.0,9.0,0.0,11.1,4,1642278,1610612752
Tyler Smith,MIL,21,10,11,91.0,1,2,50.0,1.0,1.0,100.0,75.0,3,1641890,1610612749
Tyrese Haliburton,IND,67,40,27,2253.0,231,569,40.6,143.0,384.0,37.2,53.2,605,1630169,1610612754
Tyrese Martin,BKN,56,15,41,1222.0,28,87,32.2,12.0,45.0,26.700000000000003,39.1,68,1631213,1610612751
Tyrese Maxey,PHI,52,20,32,1960.0,176,474,37.1,101.0,311.0,32.5,47.8,453,1630178,1610612755
Tyson Etienne,BKN,1,0,1,10.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630623,1610612751
Tyus Jones,PHX,74,35,39,2034.0,71,180,39.4,21.0,63.0,33.300000000000004,45.300000000000004,163,1626145,1610612756
Ulrich Chomche,TOR,7,3,4,32.0,0,0,,,,,,0,1642279,1610612761
Vasilije Micić,PHX,40,8,32,783.0,46,147,31.3,28.0,80.0,35.0,40.8,120,203995,1610612756
Victor Wembanyama,SAS,46,21,25,1527.0,81,238,34.0,40.0,128.0,31.3,42.4,202,1641705,1610612759
Vince Williams Jr.,MEM,22,8,14,411.0,7,20,35.0,3.0,11.0,27.3,42.5,17,1631246,1610612763
Vlatko Čančar,DEN,11,2,9,106.0,0,0,,0.0,0.0,,,0,1628427,1610612743
Vít Krejčí,ATL,49,24,25,999.0,18,49,36.7,14.0,40.0,35.0,51.0,50,1630249,1610612737
Walker Kessler,UTA,57,14,43,1713.0,0,2,0.0,0.0,1.0,0.0,0.0,0,1631117,1610612762
Wendell Carter Jr.,ORL,62,27,35,1603.0,11,36,30.599999999999998,0.0,1.0,0.0,30.599999999999998,22,1628976,1610612753
Wendell Moore Jr.,CHA,33,11,22,447.0,4,18,22.2,1.0,6.0,16.7,25.0,9,1631111,1610612766
Xavier Tillman,BOS,29,23,6,207.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630214,1610612738
Yuki Kawamura,MEM,20,16,4,63.0,6,13,46.2,3.0,9.0,33.300000000000004,57.699999999999996,15,1642530,1610612763
Yuri Collins,GSW,2,2,0,16.0,1,3,33.300000000000004,,,,33.300000000000004,2,1641879,1610612744
Yves Missi,NOP,69,19,50,1853.0,1,2,50.0,0.0,0.0,,50.0,2,1642274,1610612740
Zaccharie Risacher,ATL,67,34,33,1660.0,13,51,25.5,7.0,33.0,21.2,32.4,33,1642258,1610612737
Zach Collins,CHI,56,28,28,842.0,1,4,25.0,0.0,1.0,0.0,25.0,2,1628380,1610612741
Zach Edey,MEM,59,32,27,1220.0,2,6,33.300000000000004,0.0,1.0,0.0,33.300000000000004,4,1641744,1610612763
Zach LaVine,SAC,66,28,38,2299.0,199,469,42.4,115.0,272.0,42.3,54.7,513,203897,1610612758
Zeke Nnaji,DEN,53,35,18,561.0,0,0,,0.0,0.0,,,0,1630192,1610612743
Ziaire Williams,BKN,59,20,39,1460.0,9,51,17.599999999999998,1.0,26.0,3.8,18.6,19,1630533,1610612751
Zion Williamson,NOP,30,10,20,857.0,13,36,36.1,1.0,7.0,14.299999999999999,37.5,27,1629627,1610612740
Zyon Pullin,MEM,3,1,2,3.0,0,0,,,,,,0,1642389,1610612763
