PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
Kelly Oubre Jr.,PHI,27,9,9,38.2,23,39,59.0,60.3,34.3,22,35,62.9,3.9,1,4,25.0
Isaiah Hartenstein,NYK,25,20,17,51.3,22,39,56.4,56.4,51.3,22,39,56.4,0.0,0,0,-
Bismack Biyombo,MEM,31,15,12,57.4,22,39,56.4,56.4,57.4,22,39,56.4,0.0,0,0,-
CJ McCollum,NOP,32,10,9,25.7,21,39,53.8,55.1,23.7,20,36,55.6,2.0,1,3,33.3
Keita Bates-Diop,PHX,27,18,14,44.8,20,39,51.3,52.6,41.4,19,36,52.8,3.4,1,3,33.3
Ziaire Williams,MEM,22,18,14,29.3,16,39,41.0,42.3,24.8,15,33,45.5,4.5,1,6,16.7
Cameron Payne,MIL,29,22,18,33.3,20,38,52.6,55.3,31.6,18,36,50.0,1.8,2,2,100
Goga Bitadze,ORL,24,18,14,47.5,19,38,50.0,50.0,47.5,19,38,50.0,0.0,0,0,-
Marcus Sasser,DET,23,21,15,27.0,16,38,42.1,42.1,25.5,16,36,44.4,1.4,0,2,0.0
Jordan Goodwin,PHX,25,21,15,30.6,14,38,36.8,38.2,28.2,13,35,37.1,2.4,1,3,33.3
Derrick Rose,MEM,35,11,11,41.1,19,37,51.4,51.4,41.1,19,37,51.4,0.0,0,0,-
Toumani Camara,POR,23,19,16,31.9,16,37,43.2,43.2,31.0,16,36,44.4,0.9,0,1,0.0
Scoot Henderson,POR,19,11,10,33.3,14,37,37.8,37.8,30.6,14,34,41.2,2.7,0,3,0.0
Marcus Smart,MEM,29,11,11,31.1,14,37,37.8,39.2,23.5,13,28,46.4,7.6,1,9,11.1
Corey Kispert,WAS,24,19,14,23.2,20,36,55.6,58.3,19.4,18,30,60.0,3.9,2,6,33.3
Luguentz Dort,OKC,24,19,16,24.2,19,36,52.8,55.6,21.5,17,32,53.1,2.7,2,4,50.0
Shake Milton,MIN,27,20,16,36.4,14,36,38.9,38.9,33.3,14,33,42.4,3.0,0,3,0.0
Georges Niang,CLE,30,21,17,22.9,13,36,36.1,36.1,17.8,13,28,46.4,5.1,0,8,0.0
Alec Burks,DET,32,14,14,31.0,9,36,25.0,27.8,19.8,7,23,30.4,11.2,2,13,15.4
Trendon Watford,BKN,23,13,12,50.0,21,35,60.0,60.0,48.6,21,34,61.8,1.4,0,1,0.0
Precious Achiuwa,TOR,24,15,14,35.0,14,35,40.0,40.0,34.0,14,34,41.2,1.0,0,1,0.0
Paul Reed,PHI,24,20,17,41.3,21,33,63.6,63.6,41.3,21,33,63.6,0.0,0,0,-
Jamal Murray,DEN,26,8,8,26.2,17,33,51.5,53.0,23.8,16,30,53.3,2.4,1,3,33.3
Brandin Podziemski,GSW,20,13,11,43.4,15,33,45.5,45.5,43.4,15,33,45.5,0.0,0,0,-
Jalen Smith,IND,23,14,12,42.7,26,32,81.3,81.3,42.7,26,32,81.3,0.0,0,0,-
Jeff Green,HOU,37,17,14,50.8,20,32,62.5,62.5,49.2,20,31,64.5,1.6,0,1,0.0
Jaden Hardy,DAL,21,16,15,34.4,13,32,40.6,42.2,29.0,12,27,44.4,5.4,1,5,20.0
Chris Paul,GSW,38,17,13,24.8,12,32,37.5,39.1,18.6,11,24,45.8,6.2,1,8,12.5
JaVale McGee,SAC,35,17,13,52.5,22,31,71.0,71.0,52.5,22,31,71.0,0.0,0,0,-
Ayo Dosunmu,CHI,23,20,14,30.7,21,31,67.7,67.7,30.7,21,31,67.7,0.0,0,0,-
Christian Wood,LAL,28,22,16,26.1,20,31,64.5,66.1,25.2,19,30,63.3,0.8,1,1,100
Bilal Coulibaly,WAS,19,19,14,26.7,15,31,48.4,48.4,25.9,15,30,50.0,0.9,0,1,0.0
Alex Caruso,CHI,29,18,15,25.6,19,30,63.3,66.7,22.2,17,26,65.4,3.4,2,4,50.0
Daniel Theis,LAC,31,11,9,44.1,17,30,56.7,56.7,44.1,17,30,56.7,0.0,0,0,-
Torrey Craig,CHI,32,21,14,30.6,15,30,50.0,51.7,26.5,14,26,53.8,4.1,1,4,25.0
Mike Conley,MIN,36,20,14,18.1,13,30,43.3,43.3,16.3,13,27,48.1,1.8,0,3,0.0
Cam Reddish,LAL,24,19,13,27.4,17,29,58.6,60.3,25.5,16,27,59.3,1.9,1,2,50.0
Robert Covington,PHI,32,20,13,37.7,14,29,48.3,51.7,26.0,12,20,60.0,11.7,2,9,22.2
Xavier Tillman,MEM,24,10,9,37.2,14,29,48.3,48.3,37.2,14,29,48.3,0.0,0,0,-
Danilo Gallinari,WAS,35,18,15,28.4,14,29,48.3,50.0,21.6,13,22,59.1,6.9,1,7,14.3
Kelly Olynyk,UTA,32,19,14,32.6,18,28,64.3,64.3,32.6,18,28,64.3,0.0,0,0,-
Payton Pritchard,BOS,25,20,12,23.3,17,28,60.7,66.1,19.2,14,23,60.9,4.2,3,5,60.0
Landry Shamet,WAS,26,15,13,28.3,14,28,50.0,51.8,19.2,13,19,68.4,9.1,1,9,11.1
Andrew Nembhard,IND,23,17,12,24.6,14,28,50.0,50.0,24.6,14,28,50.0,0.0,0,0,-
Craig Porter Jr.,CLE,23,13,8,43.8,14,28,50.0,50.0,43.8,14,28,50.0,0.0,0,0,-
Malachi Flynn,TOR,25,20,16,31.8,12,28,42.9,46.4,23.9,10,21,47.6,8.0,2,7,28.6
Marcus Morris Sr.,PHI,34,13,9,50.9,12,28,42.9,46.4,34.5,10,19,52.6,16.4,2,9,22.2
Cason Wallace,OKC,20,19,13,30.0,19,27,70.4,70.4,28.9,19,26,73.1,1.1,0,1,0.0
Josh Okogie,PHX,25,21,13,27.3,17,27,63.0,63.0,27.3,17,27,63.0,0.0,0,0,-
Omer Yurtseven,UTA,25,15,10,46.6,17,27,63.0,63.0,46.6,17,27,63.0,0.0,0,0,-
Draymond Green,GSW,33,13,11,28.7,13,27,48.1,48.1,28.7,13,27,48.1,0.0,0,0,-
Dorian Finney-Smith,BKN,30,19,16,16.0,13,27,48.1,51.9,14.2,11,24,45.8,1.8,2,3,66.7
Pat Connaughton,MIL,30,18,11,30.3,13,27,48.1,53.7,21.3,10,19,52.6,9.0,3,8,37.5
Quentin Grimes,NYK,23,18,14,26.5,12,27,44.4,53.7,12.7,7,13,53.8,13.7,5,14,35.7
Dennis Smith Jr.,BKN,26,13,12,33.8,11,27,40.7,40.7,32.5,11,26,42.3,1.3,0,1,0.0
Donte DiVincenzo,NYK,26,20,16,18.8,9,27,33.3,35.2,16.0,8,23,34.8,2.8,1,4,25.0
Jae'Sean Tate,HOU,28,17,13,34.7,16,26,61.5,61.5,33.3,16,25,64.0,1.3,0,1,0.0
Peyton Watson,DEN,21,18,15,36.6,15,26,57.7,57.7,35.2,15,25,60.0,1.4,0,1,0.0
Doug McDermott,SAS,31,18,12,29.9,13,26,50.0,61.5,13.8,7,12,58.3,16.1,6,14,42.9
