PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
Patrick Baldwin Jr.,GSW,2,1,1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patty Mills,BKN,1,0,1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Reed,PHI,8,6,2,16.9,5.9,0.5,100.0,0.3,100.0,0.0,0.0,4.4,60.7,0.0,0.0,1.5,85.7,61.8
Payton Pritchard,BOS,3,3,0,4.1,2.7,0.7,100.0,1.0,100.0,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,116.7
Peyton Watson,DEN,2,2,0,3.7,1.5,0.0,0.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Quentin Grimes,NYK,7,3,4,23.2,5.0,0.0,0.0,2.6,27.3,0.3,25.0,0.0,0.0,0.0,0.0,0.4,100.0,40.6
RJ Barrett,NYK,9,5,4,34.1,19.4,8.0,47.3,5.7,36.2,0.9,23.5,0.4,50.0,0.4,66.7,0.2,100.0,51.5
Raul Neto,CLE,2,1,1,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Jackson,DEN,2,2,0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Rubio,CLE,3,0,3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Covington,LAC,2,0,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Williams III,BOS,10,6,4,20.8,6.7,0.0,0.0,0.0,0.0,0.0,0.0,6.2,90.0,0.0,0.0,0.2,0.0,90.6
Robin Lopez,CLE,2,1,1,3.0,4.0,1.0,100.0,0.0,0.0,1.0,100.0,3.0,100.0,1.0,100.0,1.0,100.0,100.0
Royce O'Neale,BKN,4,0,4,29.5,5.0,0.5,33.3,3.0,21.1,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,31.0
Rudy Gobert,MIN,5,1,4,35.4,15.0,0.8,50.0,0.0,0.0,0.4,100.0,11.8,69.7,0.4,0.0,2.4,25.0,63.0
Rui Hachimura,LAL,10,7,3,21.7,12.1,2.1,56.3,5.6,60.6,1.2,37.5,1.8,61.5,0.8,50.0,0.9,57.1,67.9
Russell Westbrook,LAC,5,1,4,38.5,23.6,10.0,42.2,5.4,45.0,1.8,15.4,2.0,50.0,1.4,42.9,0.4,0.0,45.7
Saddiq Bey,ATL,6,2,4,22.1,7.5,1.7,37.5,3.0,40.0,0.8,25.0,0.2,0.0,0.0,0.0,0.0,0.0,46.3
Sam Hauser,BOS,8,5,3,9.5,2.1,0.0,0.0,1.9,35.7,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7
Santi Aldama,MEM,6,2,4,16.8,6.5,0.7,22.2,3.5,50.0,0.0,0.0,2.3,75.0,0.0,0.0,0.0,0.0,56.1
Seth Curry,BKN,3,0,3,19.4,8.3,1.3,40.0,3.0,33.3,3.3,83.3,0.0,0.0,0.0,0.0,0.0,0.0,60.5
Shake Milton,PHI,3,2,1,5.3,2.7,2.7,75.0,0.0,0.0,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Shaquille Harrison,LAL,5,2,3,4.1,1.8,0.8,50.0,0.6,100.0,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,75.0
Spencer Dinwiddie,BKN,4,0,4,39.8,16.5,9.5,53.8,1.5,33.3,6.3,38.5,0.3,0.0,0.0,0.0,0.0,0.0,50.0
Stephen Curry,GSW,11,5,6,37.7,30.6,8.7,56.7,6.5,50.0,11.4,37.5,1.1,85.7,0.0,0.0,0.2,50.0,56.8
T.J. Warren,PHX,4,4,0,12.6,3.0,0.0,0.0,0.8,25.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9
Taurean Prince,MIN,5,1,4,20.0,7.8,1.2,25.0,4.2,36.8,0.6,25.0,1.0,33.3,0.4,100.0,0.4,0.0,48.5
Terance Mann,LAC,5,1,4,26.6,10.6,2.0,66.7,4.2,46.7,1.6,60.0,1.6,100.0,0.0,0.0,0.8,100.0,71.2
Terence Davis,SAC,4,2,2,14.4,6.0,1.0,100.0,2.3,25.0,2.3,60.0,0.5,100.0,0.0,0.0,0.5,100.0,55.0
Terrence Ross,PHX,4,2,2,10.0,3.3,0.5,50.0,2.3,21.4,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1
Thanasis Antetokounmpo,MIL,2,1,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobias Harris,PHI,8,6,2,34.9,16.4,4.5,53.1,4.8,50.0,2.9,35.5,2.9,76.9,2.8,71.4,0.8,100.0,59.1
Torrey Craig,PHX,9,6,3,18.4,7.2,0.7,60.0,4.0,50.0,0.6,50.0,1.1,75.0,0.0,0.0,1.0,66.7,71.3
Trae Young,ATL,6,2,4,38.3,29.2,10.5,40.0,0.5,20.0,14.8,43.4,1.0,100.0,0.0,0.0,0.0,0.0,46.3
Trey Lyles,SAC,7,3,4,16.8,6.6,0.3,33.3,3.9,33.3,0.0,0.0,1.3,50.0,0.0,0.0,0.0,0.0,53.8
Tristan Thompson,LAL,2,1,1,8.9,3.5,1.0,50.0,0.0,0.0,0.0,0.0,1.5,25.0,0.0,0.0,1.0,100.0,42.9
Troy Brown Jr.,LAL,9,6,3,13.0,1.8,0.2,50.0,0.9,23.1,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,38.1
Tyler Herro,MIA,1,1,0,19.5,12.0,2.0,33.3,6.0,66.7,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7
Tyrese Maxey,PHI,8,6,2,37.4,19.1,6.1,55.3,5.3,50.0,5.1,30.2,0.5,50.0,0.0,0.0,0.0,0.0,50.0
Tyus Jones,MEM,6,2,4,20.0,4.5,2.0,54.5,1.5,17.6,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,34.7
Udonis Haslem,MIA,1,1,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Oladipo,MIA,2,1,1,22.7,11.5,4.0,50.0,3.0,40.0,5.0,62.5,1.0,100.0,0.0,0.0,0.0,0.0,57.9
Vlatko Cancar,DEN,2,2,0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendell Moore Jr.,MIN,1,0,1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wenyen Gabriel,LAL,9,6,3,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,50.0,0.0,0.0,0.0,0.0,50.0
Wesley Matthews,MIL,2,0,2,20.6,6.0,0.0,0.0,3.0,50.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7
Xavier Tillman,MEM,6,2,4,30.5,8.7,0.0,0.0,0.5,33.3,0.0,0.0,6.0,65.4,0.3,50.0,3.0,64.3,54.4
Yuta Watanabe,BKN,1,0,1,4.7,3.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
Zeke Nnaji,DEN,2,2,0,3.7,2.5,0.0,0.0,1.5,33.3,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,62.5
Ziaire Williams,MEM,4,2,2,3.0,1.3,0.0,0.0,0.8,33.3,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,35.7
