Year,Conference,Round,Team with home-court (seed),Team with home-court odds,Team w/o home-court (seed),Team w/o home-court odds,Winning Team,Series Score,team
1990,Eastern,Round 1,Detroit Pistons (1),-1200.0,Indiana Pacers (8),800.0,Detroit Pistons,3-0,DET
1989,,NBA Finals,Detroit Pistons (1),100.0,Los Angeles Lakers (1),-120.0,Detroit Pistons,4-0,DET
1989,Eastern,Conf Finals,Detroit Pistons (1),-650.0,Chicago Bulls (6),450.0,Detroit Pistons,4-2,DET
1989,Eastern,Conf Semis,Detroit Pistons (1),-700.0,Milwaukee Bucks (5),500.0,Detroit Pistons,4-0,DET
1989,Eastern,Round 1,Detroit Pistons (1),-2000.0,Boston Celtics (8),1500.0,Detroit Pistons,3-0,DET
1988,,NBA Finals,Los Angeles Lakers (1),-260.0,Detroit Pistons (2),210.0,Los Angeles Lakers,4-3,DET
1988,Eastern,Conf Finals,Boston Celtics (1),-250.0,Detroit Pistons (2),200.0,Detroit Pistons,4-2,DET
1988,Eastern,Conf Semis,Detroit Pistons (2),-240.0,Chicago Bulls (3),200.0,Detroit Pistons,4-1,DET
1988,Eastern,Round 1,Detroit Pistons (2),-800.0,Washington Bullets (7),550.0,Detroit Pistons,3-2,DET
1987,Eastern,Conf Finals,Boston Celtics (1),,Detroit Pistons (3),,Boston Celtics,4-3,DET
1987,Eastern,Conf Semis,Atlanta Hawks (2),,Detroit Pistons (3),,Detroit Pistons,4-1,DET
1987,Eastern,Round 1,Detroit Pistons (3),,Washington Bullets (6),,Detroit Pistons,3-0,DET
1986,Eastern,Round 1,Atlanta Hawks (4),,Detroit Pistons (5),,Atlanta Hawks,3-1,DET
1985,Eastern,Conf Semis,Boston Celtics (1),,Detroit Pistons (4),,Boston Celtics,4-2,DET
1985,Eastern,Round 1,Detroit Pistons (4),,New Jersey Nets (5),,Detroit Pistons,3-0,DET
1984,Eastern,Round 1,Detroit Pistons (4),,New York Knicks (5),,New York Knicks,3-2,DET
1977,Western,Round 1,Golden State Warriors (4),,Detroit Pistons (5),,Golden State Warriors,2-1,DET
1976,Western,Conf Semis,Golden State Warriors (1),,Detroit Pistons (5),,Golden State Warriors,4-2,DET
1976,Western,Round 1,Milwaukee Bucks (4),,Detroit Pistons (5),,Detroit Pistons,2-1,DET
1975,Western,Round 1,Seattle SuperSonics (4),,Detroit Pistons (5),,Seattle SuperSonics,2-1,DET
1974,Western,Conf Semis,Chicago Bulls (3),,Detroit Pistons (4),,Chicago Bulls,4-3,DET
1968,Eastern,Conf Semis,Boston Celtics (2),,Detroit Pistons (4),,Boston Celtics,4-2,DET
2023,Western,Conf Semis,Golden State Warriors (6),-150.0,Los Angeles Lakers (7),130.0,Los Angeles Lakers,4-2,GSW
2023,Western,Round 1,Sacramento Kings (3),225.0,Golden State Warriors (6),-265.0,Golden State Warriors,4-3,GSW
2022,,NBA Finals,Golden State Warriors (3),-145.0,Boston Celtics (2),125.0,Golden State Warriors,4-2,GSW
2022,Western,Conf Finals,Golden State Warriors (3),-220.0,Dallas Mavericks (4),180.0,Golden State Warriors,4-1,GSW
2022,Western,Conf Semis,Memphis Grizzlies (2),210.0,Golden State Warriors (3),-255.0,Golden State Warriors,4-2,GSW
2022,Western,Round 1,Golden State Warriors (3),-275.0,Denver Nuggets (6),225.0,Golden State Warriors,4-1,GSW
2019,,NBA Finals,Toronto Raptors (2),230.0,Golden State Warriors (1),-270.0,Toronto Raptors,4-2,GSW
2019,Western,Conf Finals,Golden State Warriors (1),-550.0,Portland Trail Blazers (3),425.0,Golden State Warriors,4-0,GSW
2019,Western,Conf Semis,Golden State Warriors (1),-280.0,Houston Rockets (4),240.0,Golden State Warriors,4-2,GSW
2019,Western,Round 1,Golden State Warriors (1),-15000.0,Los Angeles Clippers (8),6000.0,Golden State Warriors,4-2,GSW
2018,,NBA Finals,Golden State Warriors (2),-1075.0,Cleveland Cavaliers (4),688.0,Golden State Warriors,4-0,GSW
2018,Western,Conf Finals,Houston Rockets (1),170.0,Golden State Warriors (2),-200.0,Golden State Warriors,4-3,GSW
2018,Western,Conf Semis,Golden State Warriors (2),-1050.0,New Orleans Pelicans (6),675.0,Golden State Warriors,4-1,GSW
2018,Western,Round 1,Golden State Warriors (2),-900.0,San Antonio Spurs (7),600.0,Golden State Warriors,4-1,GSW
2017,,NBA Finals,Golden State Warriors (1),-300.0,Cleveland Cavaliers (2),250.0,Golden State Warriors,4-1,GSW
2017,Western,Conf Finals,Golden State Warriors (1),-1050.0,San Antonio Spurs (2),675.0,Golden State Warriors,4-0,GSW
2017,Western,Conf Semis,Golden State Warriors (1),-3200.0,Utah Jazz (5),1600.0,Golden State Warriors,4-0,GSW
2017,Western,Round 1,Golden State Warriors (1),-7000.0,Portland Trail Blazers (8),3000.0,Golden State Warriors,4-0,GSW
2016,,NBA Finals,Golden State Warriors (1),-220.0,Cleveland Cavaliers (1),180.0,Cleveland Cavaliers,4-3,GSW
2016,Western,Conf Finals,Golden State Warriors (1),-430.0,Oklahoma City Thunder (3),345.0,Golden State Warriors,4-3,GSW
2016,Western,Conf Semis,Golden State Warriors (1),-1600.0,Portland Trail Blazers (5),1050.0,Golden State Warriors,4-1,GSW
2016,Western,Round 1,Golden State Warriors (1),-10000.0,Houston Rockets (8),4000.0,Golden State Warriors,4-1,GSW
2015,,NBA Finals,Golden State Warriors (1),-220.0,Cleveland Cavaliers (2),190.0,Golden State Warriors,4-2,GSW
2015,Western,Conf Finals,Golden State Warriors (1),-880.0,Houston Rockets (2),665.0,Golden State Warriors,4-1,GSW
2015,Western,Conf Semis,Golden State Warriors (1),-1000.0,Memphis Grizzlies (5),725.0,Golden State Warriors,4-2,GSW
2015,Western,Round 1,Golden State Warriors (1),-3000.0,New Orleans Pelicans (8),1500.0,Golden State Warriors,4-0,GSW
2014,Western,Round 1,Los Angeles Clippers (3),-400.0,Golden State Warriors (6),285.0,Los Angeles Clippers,4-3,GSW
2013,Western,Conf Semis,San Antonio Spurs (2),-950.0,Golden State Warriors (6),625.0,San Antonio Spurs,4-2,GSW
2013,Western,Round 1,Denver Nuggets (3),-460.0,Golden State Warriors (6),355.0,Golden State Warriors,4-2,GSW
2007,Western,Conf Semis,Utah Jazz (4),-135.0,Golden State Warriors (8),115.0,Utah Jazz,4-1,GSW
2007,Western,Round 1,Dallas Mavericks (1),-1800.0,Golden State Warriors (8),1200.0,Golden State Warriors,4-2,GSW
1994,Western,Round 1,Phoenix Suns (3),-360.0,Golden State Warriors (6),280.0,Phoenix Suns,3-0,GSW
1992,Western,Round 1,Golden State Warriors (3),-270.0,Seattle SuperSonics (6),210.0,Seattle SuperSonics,3-1,GSW
1991,Western,Conf Semis,Los Angeles Lakers (3),-800.0,Golden State Warriors (7),550.0,Los Angeles Lakers,4-1,GSW
1991,Western,Round 1,San Antonio Spurs (2),-500.0,Golden State Warriors (7),350.0,Golden State Warriors,3-1,GSW
1989,Western,Conf Semis,Phoenix Suns (3),-850.0,Golden State Warriors (7),550.0,Phoenix Suns,4-1,GSW
1989,Western,Round 1,Utah Jazz (2),-1000.0,Golden State Warriors (7),700.0,Golden State Warriors,3-0,GSW
1987,Western,Conf Semis,Los Angeles Lakers (1),,Golden State Warriors (5),,Los Angeles Lakers,4-1,GSW
1987,Western,Round 1,Utah Jazz (4),,Golden State Warriors (5),,Golden State Warriors,3-2,GSW
1977,Western,Conf Semis,Los Angeles Lakers (1),,Golden State Warriors (4),,Los Angeles Lakers,4-3,GSW
1977,Western,Round 1,Golden State Warriors (4),,Detroit Pistons (5),,Golden State Warriors,2-1,GSW
1976,Western,Conf Finals,Golden State Warriors (1),,Phoenix Suns (3),,Phoenix Suns,4-3,GSW
1976,Western,Conf Semis,Golden State Warriors (1),,Detroit Pistons (5),,Golden State Warriors,4-2,GSW
1975,,NBA Finals,Washington Bullets (2),-200.0,Golden State Warriors (1),170.0,Golden State Warriors,4-0,GSW
1975,Western,Conf Finals,Golden State Warriors (1),100.0,Chicago Bulls (2),-120.0,Golden State Warriors,4-3,GSW
1975,Western,Conf Semis,Golden State Warriors (1),,Seattle SuperSonics (5),,Golden State Warriors,4-2,GSW
1973,Western,Conf Finals,Los Angeles Lakers (2),,Golden State Warriors (4),,Los Angeles Lakers,4-1,GSW
1973,Western,Conf Semis,Milwaukee Bucks (1),,Golden State Warriors (4),,Golden State Warriors,4-2,GSW
1972,Western,Conf Semis,Milwaukee Bucks (2),,Golden State Warriors (4),,Milwaukee Bucks,4-1,GSW
2020,Western,Conf Semis,Los Angeles Lakers (1),-550.0,Houston Rockets (4),425.0,Los Angeles Lakers,4-1,HOU
2020,Western,Round 1,Houston Rockets (4),-160.0,Oklahoma City Thunder (5),140.0,Houston Rockets,4-3,HOU
2019,Western,Conf Semis,Golden State Warriors (1),-280.0,Houston Rockets (4),240.0,Golden State Warriors,4-2,HOU
2019,Western,Round 1,Houston Rockets (4),-310.0,Utah Jazz (5),255.0,Houston Rockets,4-1,HOU
2018,Western,Conf Finals,Houston Rockets (1),170.0,Golden State Warriors (2),-200.0,Golden State Warriors,4-3,HOU
2018,Western,Conf Semis,Houston Rockets (1),-1500.0,Utah Jazz (5),1000.0,Houston Rockets,4-1,HOU
2018,Western,Round 1,Houston Rockets (1),-3000.0,Minnesota Timberwolves (8),1500.0,Houston Rockets,4-1,HOU
2017,Western,Conf Semis,San Antonio Spurs (2),-300.0,Houston Rockets (3),250.0,San Antonio Spurs,4-2,HOU
2017,Western,Round 1,Houston Rockets (3),-390.0,Oklahoma City Thunder (6),320.0,Houston Rockets,4-1,HOU
2016,Western,Round 1,Golden State Warriors (1),-10000.0,Houston Rockets (8),4000.0,Golden State Warriors,4-1,HOU
2015,Western,Conf Finals,Golden State Warriors (1),-880.0,Houston Rockets (2),665.0,Golden State Warriors,4-1,HOU
2015,Western,Conf Semis,Houston Rockets (2),-150.0,Los Angeles Clippers (3),130.0,Houston Rockets,4-3,HOU
2015,Western,Round 1,Houston Rockets (2),-260.0,Dallas Mavericks (7),220.0,Houston Rockets,4-1,HOU
2014,Western,Round 1,Houston Rockets (4),-200.0,Portland Trail Blazers (5),170.0,Portland Trail Blazers,4-2,HOU
2013,Western,Round 1,Oklahoma City Thunder (1),-1900.0,Houston Rockets (8),875.0,Oklahoma City Thunder,4-2,HOU
2009,Western,Conf Semis,Los Angeles Lakers (1),-1100.0,Houston Rockets (5),700.0,Los Angeles Lakers,4-3,HOU
2009,Western,Round 1,Portland Trail Blazers (4),-175.0,Houston Rockets (5),150.0,Houston Rockets,4-2,HOU
2008,Western,Round 1,Houston Rockets (5),185.0,Utah Jazz (4),-215.0,Utah Jazz,4-2,HOU
2007,Western,Round 1,Houston Rockets (5),-240.0,Utah Jazz (4),200.0,Utah Jazz,4-3,HOU
2005,Western,Round 1,Dallas Mavericks (4),-220.0,Houston Rockets (5),180.0,Dallas Mavericks,4-3,HOU
2004,Western,Round 1,Los Angeles Lakers (2),-1080.0,Houston Rockets (7),920.0,Los Angeles Lakers,4-1,HOU
1999,Western,Round 1,Los Angeles Lakers (4),-165.0,Houston Rockets (5),145.0,Los Angeles Lakers,3-1,HOU
1998,Western,Round 1,Utah Jazz (1),-850.0,Houston Rockets (8),525.0,Utah Jazz,3-2,HOU
1997,Western,Conf Finals,Utah Jazz (1),-220.0,Houston Rockets (3),180.0,Utah Jazz,4-2,HOU
1997,Western,Conf Semis,Houston Rockets (3),-130.0,Seattle SuperSonics (2),110.0,Houston Rockets,4-3,HOU
1997,Western,Round 1,Houston Rockets (3),-1300.0,Minnesota Timberwolves (6),800.0,Houston Rockets,3-0,HOU
1996,Western,Conf Semis,Seattle SuperSonics (1),-200.0,Houston Rockets (5),170.0,Seattle SuperSonics,4-0,HOU
1996,Western,Round 1,Los Angeles Lakers (4),-145.0,Houston Rockets (5),125.0,Houston Rockets,3-1,HOU
1995,,NBA Finals,Orlando Magic (1),-150.0,Houston Rockets (6),130.0,Houston Rockets,4-0,HOU
1995,Western,Conf Finals,San Antonio Spurs (1),-330.0,Houston Rockets (6),250.0,Houston Rockets,4-2,HOU
1995,Western,Conf Semis,Phoenix Suns (2),-270.0,Houston Rockets (6),210.0,Houston Rockets,4-3,HOU
1995,Western,Round 1,Utah Jazz (3),-270.0,Houston Rockets (6),210.0,Houston Rockets,3-2,HOU
1994,,NBA Finals,Houston Rockets (2),-220.0,New York Knicks (2),180.0,Houston Rockets,4-3,HOU
1994,Western,Conf Finals,Houston Rockets (2),-270.0,Utah Jazz (5),210.0,Houston Rockets,4-1,HOU
1994,Western,Conf Semis,Houston Rockets (2),-120.0,Phoenix Suns (3),100.0,Houston Rockets,4-3,HOU
1994,Western,Round 1,Houston Rockets (2),-270.0,Portland Trail Blazers (7),210.0,Houston Rockets,3-1,HOU
1993,Western,Conf Semis,Seattle SuperSonics (3),-135.0,Houston Rockets (2),115.0,Seattle SuperSonics,4-3,HOU
1993,Western,Round 1,Houston Rockets (2),-600.0,Los Angeles Clippers (7),400.0,Houston Rockets,3-2,HOU
1991,Western,Round 1,Los Angeles Lakers (3),-360.0,Houston Rockets (6),280.0,Los Angeles Lakers,3-0,HOU
1990,Western,Round 1,Los Angeles Lakers (1),-1200.0,Houston Rockets (8),800.0,Los Angeles Lakers,3-1,HOU
1989,Western,Round 1,Seattle SuperSonics (4),-280.0,Houston Rockets (5),230.0,Seattle SuperSonics,3-1,HOU
1988,Western,Round 1,Dallas Mavericks (3),-400.0,Houston Rockets (6),300.0,Dallas Mavericks,3-1,HOU
1987,Western,Conf Semis,Houston Rockets (6),,Seattle SuperSonics (7),,Seattle SuperSonics,4-2,HOU
1987,Western,Round 1,Portland Trail Blazers (3),,Houston Rockets (6),,Houston Rockets,3-1,HOU
1986,,NBA Finals,Boston Celtics (1),-700.0,Houston Rockets (2),500.0,Boston Celtics,4-2,HOU
1986,Western,Conf Finals,Los Angeles Lakers (1),,Houston Rockets (2),,Houston Rockets,4-1,HOU
1986,Western,Conf Semis,Houston Rockets (2),,Denver Nuggets (3),,Houston Rockets,4-2,HOU
1986,Western,Round 1,Houston Rockets (2),,Sacramento Kings (7),,Houston Rockets,3-0,HOU
1985,Western,Round 1,Houston Rockets (3),,Utah Jazz (6),,Utah Jazz,3-2,HOU
1982,Western,Round 1,Seattle SuperSonics (3),,Houston Rockets (6),,Seattle SuperSonics,2-1,HOU
1981,,NBA Finals,Boston Celtics (1),-260.0,Houston Rockets (6),220.0,Boston Celtics,4-2,HOU
1981,Western,Conf Finals,Kansas City Kings (5),-140.0,Houston Rockets (6),120.0,Houston Rockets,4-1,HOU
1981,Western,Conf Semis,San Antonio Spurs (2),-160.0,Houston Rockets (6),140.0,Houston Rockets,4-3,HOU
1981,Western,Round 1,Los Angeles Lakers (3),,Houston Rockets (6),,Houston Rockets,2-1,HOU
1980,Eastern,Conf Semis,Boston Celtics (1),-700.0,Houston Rockets (4),500.0,Boston Celtics,4-0,HOU
1980,Eastern,Round 1,Houston Rockets (4),-140.0,San Antonio Spurs (5),120.0,Houston Rockets,2-1,HOU
1979,Eastern,Round 1,Houston Rockets (4),-160.0,Atlanta Hawks (5),140.0,Atlanta Hawks,2-0,HOU
1977,Eastern,Conf Finals,Philadelphia 76ers (1),-220.0,Houston Rockets (2),180.0,Philadelphia 76ers,4-2,HOU
1977,Eastern,Conf Semis,Houston Rockets (2),,Washington Bullets (3),,Houston Rockets,4-2,HOU
1975,Eastern,Conf Semis,Boston Celtics (1),,Houston Rockets (4),,Boston Celtics,4-1,HOU
1975,Eastern,Round 1,Houston Rockets (4),,New York Knicks (5),,Houston Rockets,2-1,HOU
2024,Eastern,Conf Finals,Boston Celtics (1),-900.0,Indiana Pacers (6),600.0,Boston Celtics,4-0,IND
2024,Eastern,Conf Semis,New York Knicks (2),-260.0,Indiana Pacers (6),220.0,Indiana Pacers,4-3,IND
2024,Eastern,Round 1,Milwaukee Bucks (3),105.0,Indiana Pacers (6),-125.0,Indiana Pacers,4-2,IND
2020,Eastern,Round 1,Indiana Pacers (4),260.0,Miami Heat (5),-320.0,Miami Heat,4-0,IND
2019,Eastern,Round 1,Boston Celtics (4),-465.0,Indiana Pacers (5),370.0,Boston Celtics,4-0,IND
2018,Eastern,Round 1,Cleveland Cavaliers (4),-600.0,Indiana Pacers (5),450.0,Cleveland Cavaliers,4-3,IND
2017,Eastern,Round 1,Cleveland Cavaliers (2),-1100.0,Indiana Pacers (7),700.0,Cleveland Cavaliers,4-0,IND
2016,Eastern,Round 1,Toronto Raptors (2),-400.0,Indiana Pacers (7),325.0,Toronto Raptors,4-3,IND
2014,Eastern,Conf Finals,Indiana Pacers (1),300.0,Miami Heat (2),-380.0,Miami Heat,4-2,IND
2014,Eastern,Conf Semis,Indiana Pacers (1),-165.0,Washington Wizards (5),145.0,Indiana Pacers,4-2,IND
2014,Eastern,Round 1,Indiana Pacers (1),-600.0,Atlanta Hawks (8),440.0,Indiana Pacers,4-3,IND
2013,Eastern,Conf Finals,Miami Heat (1),-850.0,Indiana Pacers (3),575.0,Miami Heat,4-3,IND
2013,Eastern,Conf Semis,New York Knicks (2),-190.0,Indiana Pacers (3),165.0,Indiana Pacers,4-2,IND
2013,Eastern,Round 1,Indiana Pacers (3),-380.0,Atlanta Hawks (6),300.0,Indiana Pacers,4-2,IND
2012,Eastern,Conf Semis,Miami Heat (2),-950.0,Indiana Pacers (3),625.0,Miami Heat,4-2,IND
2012,Eastern,Round 1,Indiana Pacers (3),-800.0,Orlando Magic (6),600.0,Indiana Pacers,4-1,IND
2011,Eastern,Round 1,Chicago Bulls (1),-4000.0,Indiana Pacers (8),1200.0,Chicago Bulls,4-1,IND
2006,Eastern,Round 1,New Jersey Nets (3),-325.0,Indiana Pacers (6),275.0,New Jersey Nets,4-2,IND
2005,Eastern,Conf Semis,Detroit Pistons (2),-1100.0,Indiana Pacers (6),700.0,Detroit Pistons,4-2,IND
2005,Eastern,Round 1,Boston Celtics (3),-135.0,Indiana Pacers (6),115.0,Indiana Pacers,4-3,IND
2004,Eastern,Conf Finals,Indiana Pacers (1),-165.0,Detroit Pistons (3),145.0,Detroit Pistons,4-2,IND
2004,Eastern,Conf Semis,Indiana Pacers (1),-2200.0,Miami Heat (4),1500.0,Indiana Pacers,4-2,IND
2004,Eastern,Round 1,Indiana Pacers (1),-1980.0,Boston Celtics (8),1520.0,Indiana Pacers,4-0,IND
2003,Eastern,Round 1,Indiana Pacers (3),-340.0,Boston Celtics (6),280.0,Boston Celtics,4-2,IND
2002,Eastern,Round 1,New Jersey Nets (1),-400.0,Indiana Pacers (8),300.0,New Jersey Nets,3-2,IND
2001,Eastern,Round 1,Philadelphia 76ers (1),-600.0,Indiana Pacers (8),400.0,Philadelphia 76ers,3-1,IND
2000,,NBA Finals,Los Angeles Lakers (1),-800.0,Indiana Pacers (1),550.0,Los Angeles Lakers,4-2,IND
2000,Eastern,Conf Finals,Indiana Pacers (1),-260.0,New York Knicks (3),220.0,Indiana Pacers,4-2,IND
2000,Eastern,Conf Semis,Indiana Pacers (1),-185.0,Philadelphia 76ers (5),165.0,Indiana Pacers,4-2,IND
2000,Eastern,Round 1,Indiana Pacers (1),-800.0,Milwaukee Bucks (8),550.0,Indiana Pacers,3-2,IND
1999,Eastern,Conf Finals,Indiana Pacers (2),-240.0,New York Knicks (8),200.0,New York Knicks,4-2,IND
1999,Eastern,Conf Semis,Indiana Pacers (2),-400.0,Philadelphia 76ers (6),300.0,Indiana Pacers,4-0,IND
1999,Eastern,Round 1,Indiana Pacers (2),-400.0,Milwaukee Bucks (7),300.0,Indiana Pacers,3-0,IND
1998,Eastern,Conf Finals,Chicago Bulls (1),-600.0,Indiana Pacers (3),400.0,Chicago Bulls,4-3,IND
1998,Eastern,Conf Semis,Indiana Pacers (3),-1100.0,New York Knicks (7),700.0,Indiana Pacers,4-1,IND
1998,Eastern,Round 1,Indiana Pacers (3),-450.0,Cleveland Cavaliers (6),325.0,Indiana Pacers,3-1,IND
1996,Eastern,Round 1,Indiana Pacers (3),-140.0,Atlanta Hawks (6),120.0,Atlanta Hawks,3-2,IND
1995,Eastern,Conf Finals,Orlando Magic (1),-200.0,Indiana Pacers (2),170.0,Orlando Magic,4-3,IND
1995,Eastern,Conf Semis,New York Knicks (3),-140.0,Indiana Pacers (2),120.0,Indiana Pacers,4-3,IND
1995,Eastern,Round 1,Indiana Pacers (2),-360.0,Atlanta Hawks (7),280.0,Indiana Pacers,3-0,IND
1994,Eastern,Conf Finals,New York Knicks (2),-200.0,Indiana Pacers (5),170.0,New York Knicks,4-3,IND
1994,Eastern,Conf Semis,Atlanta Hawks (1),-160.0,Indiana Pacers (5),140.0,Indiana Pacers,4-2,IND
1994,Eastern,Round 1,Orlando Magic (4),-170.0,Indiana Pacers (5),150.0,Indiana Pacers,3-0,IND
1993,Eastern,Round 1,New York Knicks (1),-900.0,Indiana Pacers (8),600.0,New York Knicks,3-1,IND
1992,Eastern,Round 1,Boston Celtics (2),-550.0,Indiana Pacers (7),350.0,Boston Celtics,3-0,IND
1991,Eastern,Round 1,Boston Celtics (2),-900.0,Indiana Pacers (7),600.0,Boston Celtics,3-2,IND
1990,Eastern,Round 1,Detroit Pistons (1),-1200.0,Indiana Pacers (8),800.0,Detroit Pistons,3-0,IND
1987,Eastern,Round 1,Atlanta Hawks (2),,Indiana Pacers (7),,Atlanta Hawks,3-1,IND
1981,Eastern,Round 1,Philadelphia 76ers (3),,Indiana Pacers (6),,Philadelphia 76ers,2-0,IND
2024,Western,Round 1,Los Angeles Clippers (4),165.0,Dallas Mavericks (5),-190.0,Dallas Mavericks,4-2,LAC
2023,Western,Round 1,Phoenix Suns (4),-600.0,Los Angeles Clippers (5),450.0,Phoenix Suns,4-1,LAC
2021,Western,Conf Finals,Phoenix Suns (2),-200.0,Los Angeles Clippers (4),170.0,Phoenix Suns,4-2,LAC
2021,Western,Conf Semis,Utah Jazz (1),-130.0,Los Angeles Clippers (4),110.0,Los Angeles Clippers,4-2,LAC
2021,Western,Round 1,Los Angeles Clippers (4),-400.0,Dallas Mavericks (5),310.0,Los Angeles Clippers,4-3,LAC
2020,Western,Conf Semis,Los Angeles Clippers (2),-1300.0,Denver Nuggets (3),850.0,Denver Nuggets,4-3,LAC
2020,Western,Round 1,Los Angeles Clippers (2),-630.0,Dallas Mavericks (7),465.0,Los Angeles Clippers,4-2,LAC
2019,Western,Round 1,Golden State Warriors (1),-15000.0,Los Angeles Clippers (8),6000.0,Golden State Warriors,4-2,LAC
2017,Western,Round 1,Los Angeles Clippers (4),-245.0,Utah Jazz (5),205.0,Utah Jazz,4-3,LAC
2016,Western,Round 1,Los Angeles Clippers (4),-525.0,Portland Trail Blazers (5),415.0,Portland Trail Blazers,4-2,LAC
2015,Western,Conf Semis,Houston Rockets (2),-150.0,Los Angeles Clippers (3),130.0,Houston Rockets,4-3,LAC
2015,Western,Round 1,Los Angeles Clippers (3),160.0,San Antonio Spurs (6),-180.0,Los Angeles Clippers,4-3,LAC
2014,Western,Conf Semis,Oklahoma City Thunder (2),-205.0,Los Angeles Clippers (3),175.0,Oklahoma City Thunder,4-2,LAC
2014,Western,Round 1,Los Angeles Clippers (3),-400.0,Golden State Warriors (6),285.0,Los Angeles Clippers,4-3,LAC
2013,Western,Round 1,Los Angeles Clippers (4),-180.0,Memphis Grizzlies (5),160.0,Memphis Grizzlies,4-2,LAC
2012,Western,Conf Semis,San Antonio Spurs (1),-2500.0,Los Angeles Clippers (5),1000.0,San Antonio Spurs,4-0,LAC
2012,Western,Round 1,Memphis Grizzlies (4),-200.0,Los Angeles Clippers (5),170.0,Los Angeles Clippers,4-3,LAC
2006,Western,Conf Semis,Phoenix Suns (2),-205.0,Los Angeles Clippers (6),185.0,Phoenix Suns,4-3,LAC
2006,Western,Round 1,Los Angeles Clippers (6),-185.0,Denver Nuggets (3),145.0,Los Angeles Clippers,4-1,LAC
1997,Western,Round 1,Utah Jazz (1),-3300.0,Los Angeles Clippers (8),2200.0,Utah Jazz,3-0,LAC
1993,Western,Round 1,Houston Rockets (2),-600.0,Los Angeles Clippers (7),400.0,Houston Rockets,3-2,LAC
1992,Western,Round 1,Utah Jazz (2),-450.0,Los Angeles Clippers (7),325.0,Utah Jazz,3-2,LAC
1976,Eastern,Conf Semis,Boston Celtics (1),,Buffalo Braves (5),,Boston Celtics,4-2,LAC
1976,Eastern,Round 1,Philadelphia 76ers (4),,Buffalo Braves (5),,Buffalo Braves,2-1,LAC
1975,Eastern,Conf Semis,Washington Bullets (2),,Buffalo Braves (3),,Washington Bullets,4-3,LAC
1974,Eastern,Conf Semis,Boston Celtics (1),,Buffalo Braves (4),,Boston Celtics,4-2,LAC
2024,Western,Round 1,Denver Nuggets (2),-340.0,Los Angeles Lakers (7),280.0,Denver Nuggets,4-1,LAL
2023,Western,Conf Finals,Denver Nuggets (1),-170.0,Los Angeles Lakers (7),145.0,Denver Nuggets,4-0,LAL
2023,Western,Conf Semis,Golden State Warriors (6),-150.0,Los Angeles Lakers (7),130.0,Los Angeles Lakers,4-2,LAL
2023,Western,Round 1,Memphis Grizzlies (2),-160.0,Los Angeles Lakers (7),140.0,Los Angeles Lakers,4-2,LAL
2021,Western,Round 1,Phoenix Suns (2),155.0,Los Angeles Lakers (7),-175.0,Phoenix Suns,4-2,LAL
2020,,NBA Finals,Los Angeles Lakers (1),-350.0,Miami Heat (5),290.0,Los Angeles Lakers,4-2,LAL
2020,Western,Conf Finals,Los Angeles Lakers (1),-550.0,Denver Nuggets (3),425.0,Los Angeles Lakers,4-1,LAL
2020,Western,Conf Semis,Los Angeles Lakers (1),-550.0,Houston Rockets (4),425.0,Los Angeles Lakers,4-1,LAL
2020,Western,Round 1,Los Angeles Lakers (1),-550.0,Portland Trail Blazers (8),425.0,Los Angeles Lakers,4-1,LAL
2013,Western,Round 1,San Antonio Spurs (2),-1000.0,Los Angeles Lakers (7),650.0,San Antonio Spurs,4-0,LAL
2012,Western,Conf Semis,Oklahoma City Thunder (2),-450.0,Los Angeles Lakers (3),350.0,Oklahoma City Thunder,4-1,LAL
2012,Western,Round 1,Los Angeles Lakers (3),-240.0,Denver Nuggets (6),195.0,Los Angeles Lakers,4-3,LAL
2011,Western,Conf Semis,Los Angeles Lakers (2),-360.0,Dallas Mavericks (3),280.0,Dallas Mavericks,4-0,LAL
2011,Western,Round 1,Los Angeles Lakers (2),-2500.0,New Orleans Hornets (7),1000.0,Los Angeles Lakers,4-2,LAL
2010,,NBA Finals,Los Angeles Lakers (1),-190.0,Boston Celtics (4),165.0,Los Angeles Lakers,4-3,LAL
2010,Western,Conf Finals,Los Angeles Lakers (1),-340.0,Phoenix Suns (3),270.0,Los Angeles Lakers,4-2,LAL
2010,Western,Conf Semis,Los Angeles Lakers (1),-420.0,Utah Jazz (5),310.0,Los Angeles Lakers,4-0,LAL
2010,Western,Round 1,Los Angeles Lakers (1),-800.0,Oklahoma City Thunder (8),600.0,Los Angeles Lakers,4-2,LAL
2009,,NBA Finals,Los Angeles Lakers (1),-280.0,Orlando Magic (3),240.0,Los Angeles Lakers,4-1,LAL
2009,Western,Conf Finals,Los Angeles Lakers (1),-250.0,Denver Nuggets (2),210.0,Los Angeles Lakers,4-2,LAL
2009,Western,Conf Semis,Los Angeles Lakers (1),-1100.0,Houston Rockets (5),700.0,Los Angeles Lakers,4-3,LAL
2009,Western,Round 1,Los Angeles Lakers (1),-2000.0,Utah Jazz (8),1200.0,Los Angeles Lakers,4-1,LAL
2008,,NBA Finals,Boston Celtics (1),160.0,Los Angeles Lakers (1),-180.0,Boston Celtics,4-2,LAL
2008,Western,Conf Finals,Los Angeles Lakers (1),-250.0,San Antonio Spurs (3),210.0,Los Angeles Lakers,4-1,LAL
