bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
mcdanja01,jalen mcdaniels,2022-23,CHO,Stationary Shooter,1170,44,SF,24,-0.7,-1.23,0.53,1.30,1629667.0,-2.05,-2.0,-0.04,2023
whiteco01,coby white,2022-23,CHI,Movement Shooter,738,35,SG,22,-0.71,0.1,-0.82,0.80,1629632.0,-0.96,-0.57,-0.4,2023
barrerj01,rj barrett,2022-23,NYK,Secondary Ball Handler,1266,37,SG,22,-0.71,0.42,-1.14,1.40,1629628.0,-0.4,0.15,-0.55,2023
wadede01,dean wade,2022-23,CLE,Stationary Shooter,409,17,PF,26,-0.71,-1.98,1.27,0.40,1629731.0,-1.07,-1.87,0.8,2023
chandke01,kennedy chandler,2022-23,MEM,Secondary Ball Handler,210,21,PG,20,-0.71,-0.9,0.19,0.20,1631113.0,-1.0,-0.94,-0.06,2023
bostobr01,brandon boston jr.,2022-23,LAC,Secondary Ball Handler,145,15,SG,21,-0.72,0.0,-0.72,0.20,1630527.0,-0.44,0.02,-0.46,2023
toppiob01,obi toppin,2022-23,NYK,Athletic Finisher,458,28,PF,24,-0.72,-0.61,-0.11,0.50,1630167.0,-0.8,-0.56,-0.23,2023
roziete01,terry rozier,2022-23,CHO,Primary Ball Handler,1209,34,SG,28,-0.72,1.11,-1.84,1.30,1626179.0,-1.66,0.28,-1.94,2023
schofad01,admiral schofield,2022-23,ORL,Stretch Big,333,25,PF,25,-0.73,-0.46,-0.26,0.40,1629678.0,-1.03,-0.56,-0.47,2023
diengou01,ousmane dieng,2022-23,OKC,Athletic Finisher,220,14,SF,19,-0.73,-0.67,-0.06,0.20,1631172.0,-1.14,-1.04,-0.1,2023
garubus01,usman garuba,2022-23,HOU,Roll + Cut Big,572,40,PF,20,-0.73,-2.02,1.29,0.60,1630586.0,-0.56,-1.97,1.41,2023
kabenmf01,mfiondu kabengele,2022-23,BOS,Low Minute,8,1,PF,25,-0.74,-0.22,-0.51,0.00,1629662.0,-0.78,-0.26,-0.52,2023
davisjd01,jd davison,2022-23,BOS,Low Minute,10,4,PG,20,-0.75,-0.26,-0.49,0.00,1631120.0,-0.78,-0.27,-0.51,2023
finnedo01,dorian finney-smith,2022-23,DAL,Stationary Shooter,981,31,PF,29,-0.75,-0.91,0.16,1.00,1627827.0,-0.87,-0.82,-0.06,2023
willigr01,grant williams,2022-23,BOS,Stationary Shooter,1201,43,PF,24,-0.76,-1.55,0.8,1.30,1629684.0,-0.4,-0.88,0.48,2023
grimequ01,quentin grimes,2022-23,NYK,Movement Shooter,927,32,SG,22,-0.77,-0.93,0.17,1.00,1629656.0,-0.8,-0.95,0.15,2023
hasleud01,udonis haslem,2022-23,MIA,Low Minute,35,5,C,42,-0.77,-0.67,-0.1,0.00,2617.0,-0.52,-0.61,0.1,2023
greenjo02,josh green,2022-23,DAL,Stationary Shooter,507,25,SG,22,-0.78,-1.35,0.57,0.50,1630182.0,-1.67,-1.2,-0.47,2023
seabrde01,dereon seabron,2022-23,NOP,Low Minute,8,4,SG,22,-0.78,-0.38,-0.4,0.00,1631220.0,-0.77,-0.39,-0.38,2023
queentr01,trevelin queen,2022-23,IND,Low Minute,29,3,SG,25,-0.8,-0.41,-0.39,0.00,1630243.0,-0.84,-0.44,-0.41,2023
