Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Delon Wright,MIA,4,1,3,107.0,32,133,53,9.2,4.13,3.53,0.241,0,0,2,0.0,0.0,0.0,1626153,1610612748
Dereck Lively II,DAL,6,4,2,122.0,53,192,109,4.2,1.32,0.25,0.276,17,1,49,0.235,2.0,0.878,1641726,1610612742
Derrick Jones Jr.,DAL,6,4,2,176.0,53,156,77,4.7,1.79,0.99,0.34,3,0,14,0.667,0.0,0.714,1627884,1610612742
Derrick White,BOS,5,4,1,170.0,112,316,119,24.1,4.57,4.52,0.354,3,0,7,0.667,0.0,1.714,1628401,1610612738
Devin Booker,PHX,4,0,4,166.0,110,270,126,20.2,4.48,4.05,0.407,3,4,4,0.667,1.0,1.75,1626164,1610612756
Donovan Mitchell,CLE,7,4,3,262.0,201,482,200,43.8,5.45,5.23,0.417,3,0,5,0.0,0.0,1.2,1628378,1610612739
Donte DiVincenzo,NYK,6,4,2,192.0,72,303,192,12.0,2.38,1.5,0.238,3,0,6,0.667,0.0,1.333,1628978,1610612752
Doug McDermott,IND,4,2,2,17.0,6,19,15,0.3,0.86,0.1,0.316,0,0,0,0.0,0.0,0.0,203926,1610612754
Drew Eubanks,PHX,3,0,3,37.0,17,44,25,1.2,1.59,0.41,0.386,7,1,12,0.857,0.0,0.833,1629234,1610612756
Duncan Robinson,MIA,5,1,4,60.0,13,77,58,3.3,2.6,1.79,0.169,1,0,0,0.0,0.0,0.0,1629130,1610612748
Dwight Powell,DAL,4,3,1,9.0,2,12,8,0.3,1.45,0.83,0.167,0,0,3,0.0,0.0,0.667,203939,1610612742
Dyson Daniels,NOP,3,0,3,17.0,4,30,10,1.1,2.3,1.7,0.133,0,0,0,0.0,0.0,0.0,1630700,1610612740
E.J. Liddell,NOP,1,0,1,3.0,0,4,3,0.2,2.45,1.5,0.0,1,0,0,0.0,0.0,0.0,1630604,1610612740
Eric Gordon,PHX,4,0,4,118.0,32,114,63,4.1,2.16,1.59,0.281,1,0,3,0.0,0.0,0.667,201569,1610612756
Evan Mobley,CLE,7,4,3,237.0,85,368,175,11.3,1.84,0.68,0.231,22,8,53,0.273,0.75,0.925,1630596,1610612739
Franz Wagner,ORL,7,3,4,259.0,132,478,246,32.4,4.07,3.5,0.276,6,1,17,1.333,0.0,0.706,1630532,1610612753
Gabe Vincent,LAL,5,1,4,69.0,7,72,32,3.1,2.55,1.73,0.097,0,0,1,0.0,0.0,0.0,1629216,1610612747
Gary Harris,ORL,6,2,4,159.0,25,117,80,2.9,1.5,1.0,0.214,4,0,5,0.0,0.0,0.0,203914,1610612753
Georges Niang,CLE,6,3,3,88.0,17,142,68,4.2,1.78,0.95,0.12,1,0,2,0.0,0.0,0.0,1627777,1610612739
Goga Bitadze,ORL,2,2,0,10.0,0,20,14,0.6,1.77,0.5,0.0,0,0,1,0.0,0.0,0.0,1629048,1610612753
Gordon Hayward,OKC,4,4,0,31.0,0,40,17,1.7,2.48,1.35,0.0,1,0,0,0.0,0.0,0.0,202330,1610612760
Grayson Allen,PHX,2,0,2,43.0,7,64,24,3.1,2.9,2.22,0.109,0,0,2,0.0,0.0,0.0,1628960,1610612756
Haywood Highsmith,MIA,5,1,4,126.0,24,149,75,6.0,2.4,1.52,0.161,0,0,3,0.0,0.0,0.0,1629312,1610612748
Herbert Jones,NOP,4,0,4,141.0,52,211,119,9.4,2.68,1.55,0.246,3,1,7,0.0,0.0,0.571,1630529,1610612740
Isaac Okoro,CLE,7,4,3,161.0,34,135,83,4.5,1.99,1.3,0.252,0,0,2,0.0,0.0,0.0,1630171,1610612739
Isaiah Hartenstein,NYK,6,4,2,158.0,62,238,169,7.1,1.78,0.53,0.261,26,0,46,0.769,0.0,0.87,1628392,1610612752
Isaiah Jackson,IND,4,2,2,24.0,8,28,15,0.7,1.41,0.32,0.286,0,2,8,0.0,0.5,0.875,1630543,1610612754
Isaiah Joe,OKC,4,4,0,54.0,21,67,45,2.0,1.81,1.0,0.313,1,0,0,0.0,0.0,0.0,1630198,1610612760
Isaiah Thomas,PHX,1,0,1,4.0,0,9,2,0.8,5.14,4.67,0.0,0,0,0,0.0,0.0,0.0,202738,1610612756
Ivica Zubac,LAC,6,2,4,192.0,97,290,160,8.3,1.71,0.69,0.334,28,19,64,0.714,0.789,1.0,1627826,1610612746
Jaden Hardy,DAL,5,3,2,13.0,15,31,15,2.2,4.23,3.67,0.484,0,0,0,0.0,0.0,0.0,1630702,1610612742
Jaden McDaniels,MIN,5,5,0,182.0,57,175,118,5.3,1.8,1.05,0.326,4,0,18,0.0,0.0,1.0,1630183,1610612750
Jaden Springer,BOS,1,1,0,8.0,2,5,2,0.3,3.57,3.0,0.4,1,0,0,0.0,0.0,0.0,1630531,1610612738
Jae Crowder,MIL,4,1,3,42.0,9,62,32,1.6,1.52,0.56,0.145,1,0,3,0.0,0.0,0.667,203109,1610612749
Jaime Jaquez Jr.,MIA,4,1,3,122.0,51,208,112,13.1,3.79,3.36,0.245,3,2,5,1.333,1.0,1.6,1631170,1610612748
Jalen Brunson,NYK,6,4,2,263.0,213,631,263,66.4,6.32,6.23,0.338,5,4,5,0.6,1.5,0.0,1628973,1610612752
Jalen Smith,IND,2,1,1,16.0,2,19,14,0.5,1.47,0.63,0.105,1,0,6,0.0,0.0,0.0,1630188,1610612754
Jalen Suggs,ORL,7,3,4,232.0,103,422,196,23.9,3.4,2.83,0.244,5,1,8,0.8,2.0,0.5,1630591,1610612753
Jalen Williams,OKC,4,4,0,148.0,85,295,124,22.2,4.51,4.21,0.288,3,2,11,0.667,1.0,1.182,1631114,1610612760
Jamal Murray,DEN,6,4,2,233.0,135,501,261,41.9,5.02,4.58,0.269,10,4,10,0.4,1.0,0.7,1627750,1610612743
James Harden,LAC,6,2,4,242.0,127,511,204,50.6,5.94,5.48,0.249,7,1,3,0.0,0.0,0.0,201935,1610612746
Jarace Walker,IND,4,3,1,11.0,0,15,10,0.7,2.72,1.93,0.0,0,0,0,0.0,0.0,0.0,1641716,1610612754
Jarrett Allen,CLE,4,2,2,127.0,68,183,108,4.8,1.58,0.34,0.372,19,2,46,0.684,1.0,1.0,1628386,1610612739
Jaxson Hayes,LAL,4,1,3,24.0,1,32,10,0.7,1.35,0.5,0.031,1,1,3,0.0,0.0,0.0,1629637,1610612747
Jaylen Brown,BOS,5,4,1,170.0,114,276,151,17.4,3.79,3.34,0.413,7,13,15,0.571,0.615,0.8,1627759,1610612738
Jaylin Williams,OKC,4,4,0,44.0,14,91,52,2.7,1.76,0.37,0.154,2,0,1,0.0,0.0,0.0,1631119,1610612760
Jayson Tatum,BOS,5,4,1,190.0,109,389,199,23.6,3.63,2.33,0.28,4,7,5,1.5,1.571,1.2,1628369,1610612738
Jeremiah Robinson-Earl,NOP,1,0,1,5.0,2,11,9,0.3,1.82,0.82,0.182,0,0,1,0.0,0.0,0.0,1630526,1610612740
Jett Howard,ORL,2,2,0,10.0,5,19,9,2.0,6.18,5.9,0.263,0,0,0,0.0,0.0,0.0,1641724,1610612753
Joe Ingles,ORL,7,3,4,68.0,11,111,67,4.8,2.6,1.45,0.099,1,0,2,0.0,0.0,0.0,204060,1610612753
Joel Embiid,PHI,6,2,4,248.0,198,484,363,21.0,2.61,1.21,0.409,25,50,21,1.16,0.6,1.143,203954,1610612755
Jonas Valanciunas,NOP,4,0,4,89.0,58,205,128,6.9,2.02,0.82,0.283,6,25,36,0.333,0.68,0.722,202685,1610612740
Jonathan Isaac,ORL,7,3,4,147.0,44,172,76,3.7,1.3,0.43,0.256,2,0,13,1.0,0.0,0.615,1628371,1610612753
Jordan Hawkins,NOP,3,0,3,12.0,0,13,10,0.5,2.37,1.77,0.0,0,0,0,0.0,0.0,0.0,1641722,1610612740
Jordan McLaughlin,MIN,2,2,0,5.0,2,14,7,1.4,5.86,6.14,0.143,1,0,0,2.0,0.0,0.0,1629162,1610612750
Jose Alvarado,NOP,4,0,4,62.0,7,113,55,6.3,3.35,2.97,0.062,1,0,1,0.0,0.0,2.0,1630631,1610612740
Josh Giddey,OKC,4,4,0,106.0,50,186,84,10.5,3.4,2.52,0.269,2,1,5,0.0,0.0,1.2,1630581,1610612760
Josh Green,DAL,6,4,2,101.0,25,99,57,2.9,1.76,1.07,0.253,1,0,6,0.0,0.0,0.667,1630182,1610612742
Josh Hart,NYK,6,4,2,278.0,101,521,250,22.5,2.6,1.83,0.194,12,0,31,0.5,0.0,0.355,1628404,1610612752
Josh Minott,MIN,1,1,0,0.0,0,2,1,0.2,5.22,0.0,0.0,0,0,0,0.0,0.0,0.0,1631169,1610612750
Josh Okogie,PHX,4,0,4,29.0,14,44,21,1.4,1.84,0.98,0.318,0,0,0,0.0,0.0,0.0,1629006,1610612756
Jrue Holiday,BOS,5,4,1,177.0,39,255,114,14.6,3.43,2.98,0.153,5,7,13,0.8,0.0,0.308,201950,1610612738
Justin Holiday,DEN,6,4,2,52.0,6,53,31,1.2,1.41,0.68,0.113,0,0,2,0.0,0.0,0.0,203200,1610612743
