PLAYER_ID,PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%
1641857,Liam Robbins,MIL,25.0,13,1,12.5,1,1,100.0,100.0,12.5,1,1,100.0,0.0,0,0,
1641766,Adama Sanogo,CHI,23.0,4,1,14.299999999999999,1,1,100.0,100.0,14.299999999999999,1,1,100.0,0.0,0,0,
101108,Chris Paul,SAS,39.0,52,1,0.3,0,1,0.0,0.0,0.0,0,0,,0.3,0,1,0.0
1642353,Cam Christie,LAC,19.0,5,1,9.1,0,1,0.0,0.0,9.1,0,1,0.0,0.0,0,0,
1642285,Cam Spencer,MEM,24.0,10,1,3.3000000000000003,0,1,0.0,0.0,3.3000000000000003,0,1,0.0,0.0,0,0,
1629626,Bol Bol,PHX,25.0,18,1,1.0999999999999999,0,1,0.0,0.0,1.0999999999999999,0,1,0.0,0.0,0,0,
1630649,Stanley Umude,MIL,25.0,19,1,5.0,0,1,0.0,0.0,5.0,0,1,0.0,0.0,0,0,
1630618,D.J. Carton,TOR,24.0,4,1,14.299999999999999,0,1,0.0,0.0,14.299999999999999,0,1,0.0,0.0,0,0,
1631303,Justin Minaya,POR,25.0,6,1,100.0,0,1,0.0,0.0,100.0,0,1,0.0,0.0,0,0,
1641745,Adam Flagler,OKC,25.0,21,1,1.7999999999999998,0,1,0.0,0.0,1.7999999999999998,0,1,0.0,0.0,0,0,
1642355,Bronny James,LAL,20.0,17,1,3.5999999999999996,0,1,0.0,0.0,3.5999999999999996,0,1,0.0,0.0,0,0,
202709,Cory Joseph,ORL,33.0,31,1,1.6,0,1,0.0,0.0,1.6,0,1,0.0,0.0,0,0,
1628470,Torrey Craig,BOS,34.0,10,1,2.1,0,1,0.0,0.0,2.1,0,1,0.0,0.0,0,0,
1642382,Branden Carlson,OKC,25.0,17,1,2.9000000000000004,0,1,0.0,0.0,2.9000000000000004,0,1,0.0,0.0,0,0,
1641734,Emoni Bates,CLE,21.0,7,1,7.1,0,1,0.0,0.0,7.1,0,1,0.0,0.0,0,0,
203914,Gary Harris,ORL,30.0,27,1,1.2,0,1,0.0,0.0,1.2,0,1,0.0,0.0,0,0,
1642502,Malevy Leons,OKC,25.0,6,1,50.0,0,1,0.0,0.0,50.0,0,1,0.0,0.0,0,0,
203926,Doug McDermott,SAC,33.0,31,1,1.2,0,1,0.0,0.0,1.2,0,1,0.0,0.0,0,0,
1642505,Alex Ducas,OKC,24.0,15,1,4.5,0,1,0.0,0.0,4.5,0,1,0.0,0.0,0,0,
1630539,Kai Jones,LAC,24.0,28,1,2.8000000000000003,0,1,0.0,0.0,2.8000000000000003,0,1,0.0,0.0,0,0,
1631159,Leonard Miller,MIN,21.0,8,1,8.3,0,1,0.0,0.0,8.3,0,1,0.0,0.0,0,0,
1629669,Jaylen Nowell,WAS,25.0,8,1,1.4000000000000001,0,1,0.0,0.0,1.4000000000000001,0,1,0.0,0.0,0,0,
1631102,TyTy Washington Jr.,PHX,23.0,7,1,3.1,0,1,0.0,0.0,3.1,0,1,0.0,0.0,0,0,
1630692,Jordan Goodwin,LAL,26.0,3,1,4.5,0,1,0.0,0.0,4.5,0,1,0.0,0.0,0,0,
1630658,Colin Castleton,MEM,24.0,10,1,10.0,0,1,0.0,0.0,10.0,0,1,0.0,0.0,0,0,
1631197,Jared Rhoden,CHA,25.0,4,1,12.5,0,1,0.0,0.0,12.5,0,1,0.0,0.0,0,0,
1642359,Pacôme Dadiet,NYK,19.0,13,1,5.0,0,1,0.0,0.0,5.0,0,1,0.0,0.0,0,0,
1630556,Kessler Edwards,DAL,24.0,26,1,1.9,0,1,0.0,0.0,1.9,0,1,0.0,0.0,0,0,
1631250,Pete Nance,PHI,24.0,7,1,6.7,0,1,0.0,0.0,6.7,0,1,0.0,0.0,0,0,
1630214,Xavier Tillman,BOS,26.0,27,1,2.4,0,1,0.0,0.0,2.4,0,1,0.0,0.0,0,0,
1642385,Cui Yongxi,BKN,21.0,5,1,14.299999999999999,0,1,0.0,0.0,14.299999999999999,0,1,0.0,0.0,0,0,
1628427,Vlatko Čančar,DEN,27.0,4,1,14.299999999999999,0,1,0.0,0.0,14.299999999999999,0,1,0.0,0.0,0,0,
202066,Garrett Temple,TOR,38.0,17,1,6.7,0,1,0.0,0.0,6.7,0,1,0.0,0.0,0,0,
